periode_data,jenis,kode_trayek,trayek,jumlah_penumpang
201908,ANGKUTAN INTEGRASI BUS KECIL,JAK-7,TANAH ABANG-TAWAKAL,75979
201907,BRT,1,KORIDOR 1 (BLOK M - KOTA),2612456
201907,BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),921613
201907,BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),1045636
201907,BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),809767
201907,BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),1093594
201907,BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),1089572
201907,BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),1046570
201907,BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1097511
201907,BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1551003
201907,BRT,10,KORIDOR 10 (PGC 2 - PLUIT),857285
201907,BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),337129
201907,BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),258775
201907,BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),773992
201907,ANGKUTAN UMUM INTEGRASI,1A,PIK - BALAIKOTA,112902
201907,ANGKUTAN UMUM INTEGRASI,1B,STASIUN PALMERAH - TOSARI,62345
201907,ANGKUTAN UMUM INTEGRASI,1F,STASIUN PALMERAH - BUNDARAN SENAYAN,38658
201907,ANGKUTAN UMUM INTEGRASI,1C,PESANGGRAHAN - BLOK M,5648
201907,ANGKUTAN UMUM INTEGRASI,1E,PONDOK LABU - BLOK M,1543
201907,ANGKUTAN UMUM INTEGRASI,1H,STASIUN TANAH ABANG - STASIUN GONDANGDIA,6495
201907,ANGKUTAN UMUM INTEGRASI,1M,BLOK M - MERUYA,33934
201907,ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,3328
201907,ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,38412
201907,ANGKUTAN UMUM INTEGRASI,1Q,REMPOA - BLOK M,64279
201907,ANGKUTAN UMUM INTEGRASI,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,4641
201907,ANGKUTAN UMUM INTEGRASI,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2847
201907,ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,35973
201907,ANGKUTAN UMUM INTEGRASI,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,41297
201907,ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,25539
201907,ANGKUTAN UMUM INTEGRASI,4B,STASIUN MANGGARAI - UI,206317
201907,ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,16322
201907,ANGKUTAN UMUM INTEGRASI,4F,PONDOK GEDE - PULOGADUNG 2,136812
201907,ANGKUTAN UMUM INTEGRASI,DA1,DUKUH ATAS - RATULANGI,9622
201907,ANGKUTAN UMUM INTEGRASI,DA2,DUKUH ATAS - TANAH ABANG,933
201907,ANGKUTAN UMUM INTEGRASI,DA3,DUKUH ATAS - KUNINGAN,8573
201907,ANGKUTAN UMUM INTEGRASI,DA4,DUKUH ATAS - KOTA,9883
201907,ANGKUTAN UMUM INTEGRASI,5A,KAMPUNG MELAYU - GROGOL 1,35578
201907,ANGKUTAN UMUM INTEGRASI,5B,STASIUN TEBET - BIDARA CINA,44957
201907,ANGKUTAN UMUM INTEGRASI,5F,KAMPUNG MELAYU - TANAH ABANG,62271
201907,ANGKUTAN UMUM INTEGRASI,6C,STASIUN TEBET - KARET,246768
201907,ANGKUTAN UMUM INTEGRASI,6H,LEBAK BULUS - STASIUN SENEN,128456
201907,ANGKUTAN UMUM INTEGRASI,6M,BLOK M - STASIUN MANGGARAI,85803
201907,ANGKUTAN UMUM INTEGRASI,6N,RAGUNAN - BLOK M VIA KEMANG,109575
201907,ANGKUTAN UMUM INTEGRASI,6Q,EPICENTRUM - CASABLANCA,11293
201907,ANGKUTAN UMUM INTEGRASI,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,105785
201907,ANGKUTAN UMUM INTEGRASI,7B,KAMPUNG RAMBUTAN - BLOK M,112711
201907,ANGKUTAN UMUM INTEGRASI,7D,CAWANG UKI - TMII,7917
201907,ANGKUTAN UMUM INTEGRASI,7E,KAMPUNG RAMBUTAN - RAGUNAN,15908
201907,ANGKUTAN UMUM INTEGRASI,7N,GANDARIA - KAMPUNG RAMBUTAN,9725
201907,ANGKUTAN UMUM INTEGRASI,7P,PONDOK KELAPA - BKN,9333
201906,ANGKUTAN WISATA,BW6,MAKAM MBAH PRIUK,1222
